Aktiv;Artikelnummer;Artikelname;HAN;Überverkäufe möglich;Lagerführung aktiv;Lagerbestand (eigen);Verfügbar (gesamt);Im Zulauf;Ø Netto-EK;Netto-VK;Auf Einkaufsliste;Label;Brutto-VK;Gewinn (%);Lieferant;Reserviert (gesamt);Preis eBay;Preis Amazon;EAN;Lagerbestand (gesamt);In Aufträgen;Anmerkung;Steuerklasse;Versandklasse;Amazon FNSKU;Letzter Einkauf;Gewinn;Letzte Änderungen
Y;284-HY-117;Standard-Gravurmaterial Rosegold/schwarz selbstklebend 590 x 290 mm 1,5 mm;86648;Y;Y;0,00;0,00;100,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;0,00;0,00;0,00;;0,00;0,00;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;284-003;Standard-Gravurmaterial Dunkel-Bronze/schwarz selbstklebend 610 x 305 mm 1,6 mm;86648;Y;Y;25,36;25,35;0,00;5,00;50,41;0,00;;59,99;90,08;Trotec Laser GmbH;0,02;0,00;0,00;;25,36;0,02;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;;45,41;26.06.2026
Y;284-001;Standard-Gravurmaterial Gold/Schwarz 1,5 mm 590X290 mm;71889-467M;Y;Y;193,16;158,64;600,00;5,00;50,41;0,00;;59,99;90,08;IMPORT-BESTELLUNG;34,52;0,00;0,00;;193,16;34,52;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;10.09.2024;45,41;26.06.2026
Y;284-002;Standard-Gravurmaterial Silber/Schwarz 1,5 mm 590X290 mm;71625-467M-1/4;Y;Y;469,16;468,48;200,00;14,64;50,41;0,00;;59,99;70,97;IMPORT-BESTELLUNG;0,68;0,00;0,00;;469,16;0,68;Plattenmaterial für TrotecLaser Gravurschilder standard silber selbstklebend;Normaler Steuersatz;Paketversand standard;;22.12.2023;35,78;26.06.2026
